,Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Timestamp
99,does dunkin donuts delivery,1,1,2400,85.69,2.22,https://www.dunkindonuts.com/en/dunkin-delivers,1920,0.03,4262,0.37,14500000,8/29/2020
100,what is a matcha latte,1,1,4400,83.05,0.55,https://news.dunkindonuts.com/news/make-way-for-matcha-lattes-at-dunkin,2068,0.03,1137,0.01,5230000,8/30/2020
101,dunkin donuts free coffee,1,1,2400,85.24,4.24,https://news.dunkindonuts.com/news/dd-perks-free-coffee-mondays-and-free-donut-fridays,1920,0.03,8140,0.13,95,8/23/2020
102,dunkin drive thru near me,1,1,2400,86.14,0.0,https://www.dunkindonuts.com/en/locations,1920,0.03,0,0.0,66,8/15/2020
103,dunkin donuts matcha,1,1,2900,85.96,3.46,https://news.dunkindonuts.com/blog/dunkin-the-story-behind-matcha,2320,0.03,8027,0.11,221000,8/20/2020
104,dunkin donuts hash browns,1,1,2400,80.45,5.06,https://news.dunkindonuts.com/blog/free-dunkin-hash-browns-member-monday,1920,0.03,9715,0.11,54,8/15/2020
105,dunkin coolatta,1,1,2400,86.82,5.37,https://www.dunkindonuts.com/en/food-drinks/frozen-drinks/coolatta,1920,0.03,10310,0.12,152000,8/20/2020
106,beyond sausage dunkin,1,0,2400,86.68,0.0,https://www.dunkindonuts.com/en/menu/sandwiches-and-more/beyond-sausage,1920,0.03,0,0.01,72,8/30/2020
107,matcha latte dunkin,1,1,2900,83.72,3.46,https://news.dunkindonuts.com/blog/dunkin-the-story-behind-matcha,2320,0.03,8027,0.05,166000,8/15/2020
108,dunkin donuts free donut,1,1,2900,84.78,3.66,https://news.dunkindonuts.com/news/dd-perks-free-coffee-mondays-and-free-donut-fridays,2320,0.03,8491,0.07,2270000,8/25/2020
109,dunkin donuts merchandise,1,1,2400,84.03,1.44,https://www.dunkindonuts.com/en/shop,1920,0.03,2764,1.0,546000,8/21/2020
110,dunkin matcha,1,1,2400,87.22,3.46,https://news.dunkindonuts.com/blog/dunkin-the-story-behind-matcha,1920,0.03,6643,0.1,249000,8/30/2020
111,dunkin beyond sausage,1,1,2900,86.69,0.0,https://news.dunkindonuts.com/blog/dunkin-beyond-meat-sausage-breakfast,2320,0.03,0,0.02,0,8/17/2020
112,america runs on dunkin,1,1,2400,77.65,0.0,https://news.dunkindonuts.com/news/dunkin-donuts-launches-new-advertising-campaign-america-runs-on-dunkin-sm,1920,0.03,0,0.0,1280000,8/18/2020
113,dunkin donuts cold brew,1,1,2900,88.07,4.84,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/cold-brew,2320,0.03,11228,0.83,622000,8/19/2020
114,dunkin donuts tea,1,1,2400,81.45,5.67,https://news.dunkindonuts.com/news/dunkin-donuts-debuts-new-premium-hot-teas,1920,0.03,10886,0.41,6370000,8/24/2020
115,dunkin donuts iced latte,1,1,2400,87.13,1.66,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/iced-latte,1920,0.03,3187,0.12,522000,8/16/2020
116,dunkin donuts matcha latte,1,1,2400,87.71,3.46,https://news.dunkindonuts.com/blog/dunkin-the-story-behind-matcha,1920,0.03,6643,0.1,446000,8/17/2020
117,dd menu,1,1,2400,75.82,0.0,https://www.dunkindonuts.com/en/menu,1920,0.03,0,0.0,943000000,8/17/2020
118,americano,11,11,49500,80.73,1.67,https://www.dunkindonuts.com/en/food-drinks/hot-drinks/americano,2326,0.03,3885,0.0,368000000,8/30/2020
119,dunkin donuts hiring age,1,1,2400,81.12,0.63,https://www.dunkindonuts.com/en/careers,1920,0.03,1209,0.01,57,8/19/2020
120,dunkin app,1,1,2400,79.51,1.33,https://www.dunkindonuts.com/en/dd-cards/mobile-app,1920,0.03,2553,0.03,31200000,8/16/2020
121,dunkin donuts hours near me,1,1,2900,88.4,0.0,https://www.dunkindonuts.com/en/locations,2320,0.03,0,0.0,94,8/23/2020
122,dunkin donuts smoothies,1,1,2900,83.96,0.0,https://news.dunkindonuts.com/news/summer-brings-new-fruit-smoothies-to-dunkin-donuts,2320,0.03,0,0.02,90,8/19/2020
123,dunkin matcha latte,1,1,2900,83.41,3.46,https://news.dunkindonuts.com/blog/dunkin-the-story-behind-matcha,2320,0.03,8027,0.09,209000,8/24/2020
124,dunkin donuts hot chocolate,1,1,2900,85.91,5.03,https://www.dunkindonuts.com/en/menu/teas-and-more/hot-chocolate,2320,0.03,11669,0.75,2400000,8/23/2020
125,dunkin donuts job application,1,1,2900,77.54,0.47,https://www.dunkindonuts.com/en/careers,2320,0.03,1090,0.16,28700000,8/26/2020
126,when does dunkin donuts close,1,1,2400,86.74,0.0,https://www.dunkindonuts.com/en/locations,1920,0.03,0,0.0,35700000,8/20/2020
